Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,FL Shock,FR Shock,BrakePressFront,BrakePressRear,Steering AnglRaw,InlineAcc,LateralAcc,VerticalAcc,RollRate,PitchRate,YawRate,SteeringAngle,BRK PRESS F,BRK PRESS R,ECU THROTTLE
0,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,1.0566,0.0259,-0.9692,2.4375,-0.3472,1.9775,-32.5883,327.67,327.67,61.5
0.05,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,1.0566,0.0259,-0.9692,2.4375,-0.3472,1.9775,-32.5883,327.67,327.67,61.5
0.1,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,1.0566,0.0259,-0.9692,2.4375,-0.3472,1.9775,-32.5883,327.67,327.67,61.5
0.15,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,1.0566,0.0259,-0.9692,2.4375,-0.3472,1.9775,-32.5883,327.67,327.67,61.5
0.2,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,1.0566,0.0259,-0.9692,2.4375,-0.3472,1.9775,-32.5883,327.67,327.67,61.5
0.25,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,1.0566,0.0259,-0.9692,2.4375,-0.3472,1.9775,-32.5883,327.67,327.67,61.5
0.3,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,1.0566,0.0259,-0.9692,2.4375,-0.3472,1.9775,-32.5883,327.67,327.67,61.5
0.35,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,1.0566,0.0259,-0.9692,2.4375,-0.3472,1.9775,-32.5883,327.67,327.67,61.5
0.4,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,1.0566,0.0259,-0.9692,2.437,-0.3428,1.9785,-32.5883,327.67,327.67,61.5
0.45,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,1.0566,0.0259,-0.9692,2.3942,-0.2022,2.0246,-32.5883,327.67,327.67,61.5
0.5,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,1.0566,0.0259,-0.9692,2.3145,-0.2909,2.1177,-32.5883,327.67,327.67,61.5
0.55,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,1.0566,0.0259,-0.9692,2.2047,-0.6262,2.2171,-32.5883,327.67,327.67,61.5
0.6,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,0.8607,0.0144,-0.8951,2.0924,-1.0916,2.2396,-32.5883,327.67,327.67,61.5
0.65,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,-0.0266,0.0217,-0.9466,2.0601,-1.4339,2.189,-32.5883,327.67,327.67,61.5
0.7,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,-0.036,0.0275,-1.0857,2.1329,-1.4923,2.1202,-32.5883,327.67,327.67,61.5
0.75,5.553,14,0,0,-0.2315,-65.0372,0,208.4704,15.8,0.13,10000,44.49280578,-79.18132927,-9.1875,-1.6846,0.3679,0.3081,60.9688,0.457,-0.0142,-1.0555,2.2147,-1.3045,2.1041,-32.5883,327.67,327.67,61.5
0.8,6.0379,14,0.0061,0.1374,-0.1743,-64.8136,2.2365,208.4707,15.8,0.13,42.9675,44.492806,-79.1813299,-9.1875,-1.6846,0.3679,0.3081,60.9688,0.6981,-0.03,-1.1701,2.2261,-1.121,2.1825,-32.5883,327.67,327.67,61.5
0.85,6.9705,14,0.0179,0.4017,-0.0642,-64.3835,6.5375,208.4713,15.8,0.13,16.9698,44.49280644,-79.1813311,-9.793,-1.8516,0.3736,0.3057,61.0044,0.2354,-0.0807,-1.1105,2.1801,-0.9608,2.3457,-32.5915,327.67,327.67,61.5
0.9,7.9135,14,0.0232,0.5314,-0.0252,-64.0213,7.9229,208.4753,15.774,0.13,15.8965,44.49280694,-79.18133249,-11.0391,-2.3262,0.347,0.1421,61.4856,-0.0115,-0.1107,-0.993,2.0842,-0.7613,2.5771,-32.5968,327.67,327.67,62.2744
0.95,8.866,14,0.0224,0.537,-0.052,-63.7218,6.6172,208.4825,15.724,0.13,21.3243,44.49280751,-79.18133406,-11.582,-3.0605,-1.3987,-1.7907,60.2794,-0.4037,-0.1755,-0.9879,1.9923,-0.6967,3.0221,-32.589,327.67,327.67,63.2244
