time,lat,long,throttle
44.85,44.49266108,-79.18132964,97.6
44.9,44.49266784,-79.18133815,97.6
44.95,44.49267471,-79.18134654,97.6
45.0,44.49268179,-79.18135483,97.6
45.05,44.49268906,-79.18136303,97.6
45.1,44.49269644,-79.18137098,97.6
45.15,44.49270392,-79.1813787,97.6
45.2,44.49271154,-79.18138633,97.6
45.25,44.49271929,-79.18139387,97.6
45.3,44.49272716,-79.18140142,97.5844
45.35,44.49273514,-79.18140898,97.5289
45.4,44.49274323,-79.18141646,97.5
45.45,44.49275142,-79.18142385,97.5
45.5,44.49275972,-79.18143122,97.5
45.55,44.49276813,-79.18143856,97.5
45.6,44.49277655,-79.18144589,97.5
45.65,44.49278499,-79.1814532,97.5044
45.7,44.4927935,-79.18146058,97.56
45.75,44.49280208,-79.18146802,97.5844
45.8,44.49281066,-79.18147555,97.5289
45.85,44.49281925,-79.18148314,97.5
45.9,44.49282786,-79.18149083,97.5
45.95,44.49283647,-79.18149861,97.5
46.0,44.49284507,-79.18150646,97.5
46.05,44.49285366,-79.18151439,97.5489
46.1,44.49286231,-79.1815224,97.6
46.15,44.49287101,-79.18153048,97.6
46.2,44.49287967,-79.18153877,97.5844
46.25,44.49288828,-79.18154724,97.5289
46.3,44.49289687,-79.18155583,97.5
46.35,44.49290544,-79.18156453,97.5
46.4,44.49291396,-79.1815734,97.5
46.45,44.49292243,-79.18158242,97.5
46.5,44.49293083,-79.18159157,97.5
46.55,44.49293917,-79.18160084,97.5
46.6,44.49294755,-79.18161026,97.5
46.65,44.49295598,-79.18161982,97.5
46.7,44.49296437,-79.18162947,97.5
46.75,44.49297271,-79.18163919,97.5
46.8,44.49298096,-79.18164912,97.5
46.85,44.49298912,-79.18165922,97.5
46.9,44.49299723,-79.18166951,97.5
46.95,44.4930053,-79.18167997,97.5
47.0,44.4930133,-79.18169054,97.5
47.05,44.49302126,-79.18170121,97.5
47.1,44.49302917,-79.18171205,97.5
47.15,44.49303702,-79.18172304,97.5
47.2,44.49304486,-79.1817341,97.5
47.25,44.49305267,-79.18174524,97.5
47.3,44.49306043,-79.18175647,97.5378
47.35,44.49306816,-79.18176779,97.5933
47.4,44.49307587,-79.18177922,97.6
47.45,44.49308355,-79.18179076,97.6
47.5,44.49309117,-79.1818024,97.6
47.55,44.49309871,-79.18181415,95.7644
47.6,44.49310619,-79.18182604,89.2089
47.65,44.4931136,-79.18183805,77.9067
47.7,44.49312086,-79.18185023,61.4622
47.75,44.49312798,-79.18186257,51.5533
47.8,44.49313495,-79.18187504,44.72
47.85,44.49314177,-79.18188764,38.5711
47.9,44.49314843,-79.18190036,32.8844
47.95,44.49315492,-79.1819132,31.44
48.0,44.49316116,-79.18192615,30.4
48.05,44.49316716,-79.1819392,30.4
48.1,44.49317292,-79.18195235,28.9067
48.15,44.49317846,-79.1819656,25.7956
48.2,44.49318373,-79.18197896,21.4378
48.25,44.49318874,-79.1819924,16.4933
48.3,44.49319351,-79.18200594,12.6733
48.35,44.49319806,-79.18201956,9.6556
48.4,44.49320206,-79.18203321,14.1
48.45,44.49320555,-79.1820469,17.8444
48.5,44.49320853,-79.18206058,19.7889
48.55,44.49321103,-79.18207425,21.0133
48.6,44.49321316,-79.18208782,21.4578
48.65,44.49321497,-79.1821013,22.5822
48.7,44.49321641,-79.18211476,24.0267
48.75,44.4932175,-79.18212821,24.9333
48.8,44.49321813,-79.18214145,26.26
48.85,44.49321832,-79.1821545,33.26
48.9,44.49321816,-79.18216753,38.6889
48.95,44.49321767,-79.18218054,40.0778
49.0,44.49321697,-79.18219336,42.08
49.05,44.49321606,-79.18220599,44.7467
49.1,44.49321473,-79.18221854,46.5067
49.15,44.493213,-79.18223101,47.84
49.2,44.493211,-79.18224337,48.3422
49.25,44.49320874,-79.18225563,48.8956
49.3,44.49320612,-79.18226765,51.34
49.35,44.49320317,-79.18227943,53.6133
49.4,44.49319996,-79.18229107,55.4467
49.45,44.49319651,-79.18230256,56.6133
49.5,44.49319288,-79.182314,57.0578
49.55,44.49318909,-79.18232539,60.94
49.6,44.49318497,-79.18233649,66.44
49.65,44.49318056,-79.18234734,76.8778
